repo,pr_number,title,author,state,was_merged,body,created_at,closed_at,merged_at,additions,deletions,changed_files,commits,comments_count,review_comments_count
numpy/numpy,30137,BUG: ``broadcast`` runtime signatures,jorenham,closed,True,"Following #30104, #30114, #30121, #30124, and #30126, this adds the missing `__text_signature__`s to the ``broadcast`` constructor and its `reset` method.

before:

```pycon
>>> from inspect import signature
>>> signature(np.broadcast)
Traceback (most recent call last):
[...]
ValueError: no signature found for builtin type <class 'numpy.broadcast'>
>>> signature(np.broadcast.reset)
Traceback (most recent call last):
[...]
ValueError: no signature found for builtin <method 'reset' of 'numpy.broadcast' objects>
```

after:

```pycon
>>> from inspect import signature
>>> signature(np.broadcast)
<Signature (*arrays)>
>>> signature(np.broadcast.reset)
<Signature (self, /)>
```",2025-11-03 23:08:39+00:00,2025-11-04 22:57:32+00:00,2025-11-04 22:57:32+00:00,23,0,2,1,1,0
numpy/numpy,30132,BLD: use scipy-openblas 0.3.30.7,mattip,closed,True,"Fixes #30092.

Rather than update the OpenBLAS version, this PR uses a patched version of OpenBLAS that incorporate the fix from https://github.com/OpenMathLib/OpenBLAS/issues/5520. That should minimize the risk in updating the dependency so close to the new release cut-off date.",2025-11-03 10:38:35+00:00,2025-11-04 10:24:28+00:00,2025-11-04 10:24:28+00:00,3,3,2,1,6,0
numpy/numpy,30130,BUG: Avoid compilation error of wrapper file generated with SWIG >= 4.4 (#30128),charris,closed,True,"Backport of #30128.

The `import_array` macro, which is defined in the file `numpy/core/code_generators/generate_numpy_api.py`, is intended for use inside an internal SWIG function that is called in the generated C wrapper file. This macro contains a return statement whose argument must match the function definition.

Until version 4.3 of SWIG, the aforementioned function returned a `void*` value. However, in version 4.4, the return value was changed to `int`. This causes compilation of code using import_array() to fail with the following error message: `returning 'void *' from a function with return type 'int' makes integer from pointer without a cast [-Wint-conversion].`

This commit resolves the issue by returning either `NULL` or `0`, depending on the SWIG version being used (< 3.4 or >= 3.4, respectively). This change has been successfully tested against SWIG versions 4.3 and 4.4.

Closes: numpy/numpy#30122

<!--         ----------------------------------------------------------------
                MAKE SURE YOUR PR GETS THE ATTENTION IT DESERVES!
                ----------------------------------------------------------------

*  FORMAT IT RIGHT:
      https://www.numpy.org/devdocs/dev/development_workflow.html#writing-the-commit-message

*  IF IT'S A NEW FEATURE OR API CHANGE, TEST THE WATERS:
      https://www.numpy.org/devdocs/dev/development_workflow.html#get-the-mailing-list-s-opinion

*  HIT ALL THE GUIDELINES:
      https://numpy.org/devdocs/dev/index.html#guidelines

*  WHAT TO DO IF WE HAVEN'T GOTTEN BACK TO YOU:
      https://www.numpy.org/devdocs/dev/development_workflow.html#getting-your-pr-reviewed
-->
",2025-11-03 00:18:52+00:00,2025-11-03 00:59:23+00:00,2025-11-03 00:59:23+00:00,7,1,1,1,0,0
numpy/numpy,30129,"BLD: update scipy-openblas, use -Dpkg_config_path (#30049)",charris,closed,True,"Backport of #30049.

Closes https://github.com/numpy/numpy/issues/29391 by patching OpenBLAS. Hopefully by the time 0.3.31 is released we can remove the patch.

Also use spin build -- -Dpkg_config_path= instead of setting PKG_CONFIG_PATH in the normal (non-wheel building) CI.

<!--         ----------------------------------------------------------------
                MAKE SURE YOUR PR GETS THE ATTENTION IT DESERVES!
                ----------------------------------------------------------------

*  FORMAT IT RIGHT:
      https://www.numpy.org/devdocs/dev/development_workflow.html#writing-the-commit-message

*  IF IT'S A NEW FEATURE OR API CHANGE, TEST THE WATERS:
      https://www.numpy.org/devdocs/dev/development_workflow.html#get-the-mailing-list-s-opinion

*  HIT ALL THE GUIDELINES:
      https://numpy.org/devdocs/dev/index.html#guidelines

*  WHAT TO DO IF WE HAVEN'T GOTTEN BACK TO YOU:
      https://www.numpy.org/devdocs/dev/development_workflow.html#getting-your-pr-reviewed
-->
",2025-11-03 00:12:14+00:00,2025-11-03 00:58:54+00:00,2025-11-03 00:58:54+00:00,4,7,3,1,0,0
numpy/numpy,30128,BUG: Avoid compilation error of wrapper file generated with SWIG >= 4.4,rlaboiss,closed,True,"The `import_array` macro, which is defined in the file `numpy/core/code_generators/generate_numpy_api.py`, is intended for use inside an internal SWIG function that is called in the generated C wrapper file. This macro contains a return statement whose argument must match the function definition.

Until version 4.3 of SWIG, the aforementioned function returned a `void*` value. However, in version 4.4, the return value was changed to `int`. This causes compilation of code using import_array() to fail with the following error message: `returning 'void *' from a function with return type 'int' makes integer from pointer without a cast [-Wint-conversion].`

This commit resolves the issue by returning either `NULL` or `0`, depending on the SWIG version being used (< 4.4 or >= 4.4, respectively). This change has been successfully tested against SWIG versions 4.3 and 4.4.

Closes: numpy/numpy#30122

<!--         ----------------------------------------------------------------
                MAKE SURE YOUR PR GETS THE ATTENTION IT DESERVES!
                ----------------------------------------------------------------

*  FORMAT IT RIGHT:
      https://www.numpy.org/devdocs/dev/development_workflow.html#writing-the-commit-message

*  IF IT'S A NEW FEATURE OR API CHANGE, TEST THE WATERS:
      https://www.numpy.org/devdocs/dev/development_workflow.html#get-the-mailing-list-s-opinion

*  HIT ALL THE GUIDELINES:
      https://numpy.org/devdocs/dev/index.html#guidelines

*  WHAT TO DO IF WE HAVEN'T GOTTEN BACK TO YOU:
      https://www.numpy.org/devdocs/dev/development_workflow.html#getting-your-pr-reviewed
-->
",2025-11-02 09:57:35+00:00,2025-11-02 17:46:23+00:00,2025-11-02 17:46:23+00:00,7,1,1,1,5,0
numpy/numpy,30127,DOC: remove outdated notes on how to build against numpy in conda-forge,rgommers,closed,True,Closes https://github.com/conda-forge/conda-forge.github.io/issues/2605,2025-11-01 20:48:23+00:00,2025-11-01 21:38:11+00:00,2025-11-01 21:38:11+00:00,3,8,1,1,1,0
numpy/numpy,30126,BUG: ``nditer`` runtime signatures,jorenham,closed,True,"This is the next batch of `inspect.signature` fixes after  #30104, #30114, and #30121, #30124, this time addressing the `signature(np.nditer)` constructor and that of its methods.

But wait, where are the typing changes?
Well, there's not really needed this time, because the signatures in the stubs where already spot-on (according to stubtest). And even though I noticed a bunch of ways to improve `nditer`, I miraculously managed to keep myself from going out-of-scope, i.e. my signature move (pun intended), this time.",2025-11-01 04:22:13+00:00,2025-11-01 18:43:37+00:00,2025-11-01 18:43:37+00:00,144,82,2,1,1,3
numpy/numpy,30125,BUG: Fix handling by ``unique`` of signed zero in complex types.,WarrenWeckesser,closed,True,"When hashing a complex type, convert any real or imaginary part from -0.0 to 0.0 before computing the hash.

Closes gh-30123.",2025-11-01 03:32:42+00:00,2025-11-07 15:45:37+00:00,2025-11-07 15:45:37+00:00,40,12,3,3,8,13
numpy/numpy,30124,"BUG, TYP: ``flatiter`` method runtime signatures, and better stubs",jorenham,closed,True,"After #30104, #30114, and #30121, this fixes the `inspect.signature` for the `copy` and `__array__` methods of `numpy.flatiter`. 
While updating the relevant stubs I improved some of the other `flatiter` method stubs. It is now better able to deal with shape-types and dtypes. I also brushed up the type-tests for it, which are now pretty thorough.",2025-11-01 02:22:27+00:00,2025-11-01 18:30:51+00:00,2025-11-01 18:30:51+00:00,201,98,6,2,1,0
numpy/numpy,30121,"BUG, TYP: scalar-type constructor runtime signatures",jorenham,closed,True,"Following #30104 and #30114, this fixes `inspect.signature` from raising an error when called on the scalar-type constructors, e.g. `inspect.signature(np.int8)`.

To that end, I performed some surgery on `add_newdoc_for_scalar_type`, and replaced an used parameter with one for the `__text_signature__` string, making things a bit more dry and readable. I'm assuming here that `add_newdoc_for_scalar_type` is private API.

Oh and as it turns out, the docstrings for `long` and `ulong` were completely missing, and therefore also for `int32`/`uint32` on some windows platforms.",2025-10-31 19:49:15+00:00,2025-11-01 18:26:47+00:00,2025-11-01 18:26:47+00:00,292,249,4,5,1,0
